Country,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
United States of America,52,1,52,1,43
United States of America,50,1,34,2,50
Germany,66,1,57,0,66
Poland,56,1,46,0,56
Poland,39,1,39,0,22
Russian Federation,40,1,40,0,6
Romania,62,1,62,1,47
South Africa,54,1,18,2,54
United States of America,51,1,49,1,51
India,87,2,12,5,87
United States of America,80,1,25,6,80
Italy,86,1,62,0,86
Argentina,22,1,18,1,22
Italy,83,1,54,0,83
Lithuania,35,1,35,0,24
Croatia,67,1,67,0,52
Peru,34,0,18,0,34
Czechia,80,1,47,0,80
India,107,2,34,5,107
United States of America,47,1,32,4,47
United Kingdom of Great Britain and Northern Ireland,36,1,23,4,36
United States of America,58,1,29,2,58
Brazil,52,1,2,2,52
Italy,64,1,46,1,64
United States of America,51,1,31,6,51
United States of America,61,2,34,7,61
United States of America,75,3,7,16,75
Belgium,59,1,22,8,59
Germany,62,1,41,3,62
Mexico,118,2,12,8,118
Pakistan,169,1,47,0,169
Italy,45,1,45,0,30
Japan,26,1,26,1,25
Switzerland,55,1,24,3,55
South Africa,95,5,21,3,95
Belarus,31,1,31,0,22
Peru,32,1,22,1,32
China,156,4,101,11,156
Netherlands,29,1,27,5,29
United States of America,92,2,7,14,92
Czechia,79,1,37,1,79
Japan,31,1,31,3,26
India,162,1,39,0,162
Armenia,36,1,36,0,36
Nigeria,62,2,24,1,62
Cambodia,35,0,19,0,35
Guinea,63,1,16,0,63
Sweden,34,1,34,0,16
Democratic Republic of the Congo,201,10,48,8,201
Myanmar,19,1,19,0,18
Australia,33,0,28,1,33
Kuwait,164,2,159,5,164
Japan,56,1,48,2,56
Indonesia,158,2,104,1,158
United States of America,50,2,33,4,50
Greece,110,2,41,8,110
Pakistan,164,3,139,0,164
India,90,3,73,2,90
India,165,3,165,1,162
Venezuela (Bolivarian Republic of),165,4,3,18,165
Italy,64,1,37,2,64
Germany,65,1,41,3,65
,37,1,35,4,37
Uganda,65,2,16,0,65
India,119,2,83,0,119
India,171,4,168,1,171
Indonesia,101,2,54,1,101
China,124,2,124,5,92
United States of America,58,1,7,14,58
Brazil,25,0,13,0,25
Romania,35,1,35,2,35
Italy,93,1,34,5,93
Romania,64,1,40,1,64
,28,0,28,2,23
Colombia,98,3,1,9,98
Brazil,38,0,13,2,38
United States of America,65,1,17,13,65
Italy,34,1,32,3,34
Brazil,57,2,6,4,57
Brazil,75,2,6,6,75
Thailand,48,0,30,0,48
Thailand,48,0,28,0,48
Pakistan,193,2,140,1,193
India,174,4,174,1,159
Brazil,49,1,10,3,49
France,63,1,18,7,63
India,186,2,87,0,186
Ukraine,66,1,35,1,66
United States of America,55,2,20,15,55
Mexico,62,1,12,5,62
United States of America,65,1,29,2,65
Spain,35,1,35,1,25
United Kingdom of Great Britain and Northern Ireland,49,1,21,5,49
Pakistan,144,2,99,0,144
Poland,111,2,25,10,111
Japan,41,1,41,1,28
United States of America,58,2,17,20,58
Peru,58,1,12,1,58
India,500,1,37,0,500
Brazil,34,1,9,1,34
Turkey,121,2,49,2,121
United States of America,32,1,25,4,32
Guatemala,77,2,3,6,77
Canada,38,1,38,0,11
United States of America,39,1,24,9,39
Republic of Moldova,38,1,38,0,36
Brazil,65,2,3,7,65
Algeria,74,3,34,16,74
Colombia,77,2,7,7,77
United States of America,98,2,9,16,98
Chile,66,2,10,8,66
France,44,1,33,1,44
France,51,1,21,4,51
United States of America,153,4,4,20,153
Netherlands,35,0,33,1,35
Guinea,51,1,12,0,51
Iran (Islamic Republic of),78,1,56,0,78
India,160,2,59,1,160
France,33,1,29,3,33
Afghanistan,67,0,41,0,67
India,53,2,35,1,53
Israel,75,1,48,4,75
Germany,45,1,28,3,45
Ghana,60,2,15,1,60
United States of America,37,1,37,1,16
Indonesia,75,2,45,0,75
United States of America,88,1,23,4,88
Canada,45,1,19,5,45
Russian Federation,30,1,30,0,9
Russian Federation,46,1,43,1,46
Cameroon,71,2,16,0,71
Namibia,113,0,22,0,113
Nepal,93,3,69,0,93
India,180,1,58,1,180
Nigeria,101,3,22,1,101
India,500,1,36,0,500
United Kingdom of Great Britain and Northern Ireland,53,0,35,2,53
France,65,1,23,4,65
Belgium,40,1,29,3,40
Brazil,52,1,13,3,52
United States of America,71,1,22,3,71
Germany,38,0,32,2,38
Burkina Faso,26,1,12,0,26
Iran (Islamic Republic of),67,1,49,0,67
France,50,1,35,1,50
Uzbekistan,79,1,48,0,79
Australia,31,0,30,6,31
Russian Federation,33,1,29,5,33
Germany,34,0,34,0,29
Romania,50,1,37,4,50
Australia,32,0,32,1,16
Malaysia,77,2,35,0,77
United States of America,51,2,23,13,51
Philippines,46,1,37,0,46
Philippines,38,1,15,0,38
Guatemala,84,2,8,8,84
France,61,1,18,7,61
Italy,64,1,49,1,64
France,59,1,41,2,59
Philippines,46,1,30,0,46
Venezuela (Bolivarian Republic of),102,2,10,13,102
Philippines,65,1,23,1,65
Brazil,31,1,10,1,31
Brazil,17,0,14,0,17
Portugal,33,0,33,3,33
,19,1,13,2,19
Mexico,54,1,23,0,54
Mexico,81,1,14,3,81
Nigeria,61,2,13,3,61
United States of America,50,2,4,6,50
United States of America,64,2,15,13,64
Brazil,35,1,4,3,35
India,174,1,38,0,174
Russian Federation,51,1,31,3,51
India,135,0,23,0,135
Spain,43,1,15,4,43
United States of America,57,2,24,12,57
Germany,31,0,27,2,31
Sweden,37,1,37,1,27
Italy,69,1,22,5,69
United States of America,58,2,22,13,58
Côte d'Ivoire,32,1,10,0,32
India,162,1,48,0,162
France,41,1,27,0,41
Brazil,22,0,12,1,22
Germany,31,0,29,1,31
Uganda,156,7,14,4,156
Brazil,26,0,16,0,26
United States of America,29,1,29,3,21
United Republic of Tanzania,31,1,12,0,31
India,168,1,36,0,168
Romania,38,1,38,1,30
Germany,39,1,25,3,39
Brazil,28,0,15,1,28
United Kingdom of Great Britain and Northern Ireland,29,0,29,3,25
Brazil,50,1,2,3,50
Brazil,62,1,10,4,62
Spain,50,1,29,3,50
Brazil,35,1,11,0,35
Netherlands,37,0,37,0,30
France,46,1,29,2,46
Brazil,49,1,11,3,49
Brazil,17,1,15,1,17
Czechia,54,1,21,5,54
Mexico,31,1,23,1,31
India,60,0,24,0,60
Peru,114,3,15,7,114
United States of America,56,1,10,21,56
Nigeria,196,13,6,13,196
Bangladesh,187,2,47,3,187
Hungary,63,1,31,1,63
Mexico,30,1,11,2,30
Ghana,76,1,20,1,76
Côte d'Ivoire,114,3,11,3,114
Panama,64,2,15,6,64
Spain,43,1,7,6,43
Germany,35,1,23,4,35
Spain,31,1,21,5,31
United States of America,55,1,27,9,55
United States of America,43,1,40,3,43
,44,1,38,2,44
Russian Federation,32,1,32,1,10
United States of America,74,2,15,18,74
Madagascar,20,0,16,0,20
United States of America,39,1,35,3,39
,56,2,19,8,56
,31,1,11,2,31
India,500,4,149,4,479
India,209,2,103,1,209
Brazil,28,0,18,0,28
Italy,49,1,49,0,25
United States of America,57,1,30,3,57
Trinidad and Tobago,81,1,21,4,81
Ukraine,39,1,39,0,36
India,152,1,37,0,152
United States of America,54,1,30,6,54
Greece,62,1,41,7,62
Netherlands,36,0,33,1,36
Guatemala,73,2,13,7,73
Ireland,27,1,27,1,16
United States of America,44,1,44,4,38
Poland,37,1,37,0,14
India,249,1,47,0,249
United States of America,52,1,14,12,52
Afghanistan,74,1,41,0,74
India,59,1,31,0,59
United States of America,55,1,18,5,55
Germany,33,0,33,1,26
Azerbaijan,44,1,36,0,44
Austria,58,1,31,2,58
Italy,67,1,37,3,67
Russian Federation,35,1,35,0,28
Russian Federation,37,1,37,0,20
Thailand,50,0,28,0,50
Libya,121,1,49,1,121
Philippines,52,0,26,0,52
Bangladesh,109,3,66,2,109
China,153,4,146,3,153
India,195,1,45,0,195
India,166,1,73,1,166
Canada,25,1,25,0,15
Switzerland,103,1,27,2,103
Côte d'Ivoire,64,2,18,0,64
China,92,2,54,3,92
Côte d'Ivoire,75,3,15,1,75
Niger,69,2,25,2,69
Mexico,48,1,11,3,48
India,224,2,85,1,224
Russian Federation,38,1,38,2,15
India,167,3,164,3,167
Spain,30,1,30,2,26
China,42,1,32,0,42
Spain,30,1,22,3,30
Germany,51,1,26,3,51
India,121,1,22,3,121
India,199,1,43,0,199
India,60,0,26,0,60
United States of America,29,1,29,5,27
India,99,1,47,0,99
Uzbekistan,118,1,95,1,118
Andorra,27,1,27,0,20
Italy,39,2,36,6,39
China,79,2,60,1,79
Germany,48,0,31,2,48
Madagascar,28,1,22,0,28
El Salvador,103,2,22,9,103
Philippines,59,1,13,0,59
Serbia,69,1,39,1,69
El Salvador,115,3,14,12,115
Brazil,16,1,12,0,16
France,60,1,31,3,60
India,57,0,29,0,57
Italy,43,2,43,4,41
United States of America,57,2,12,7,57
France,66,1,31,3,66
United States of America,120,4,12,35,120
Italy,39,1,29,3,39
Peru,25,0,3,2,25
Malaysia,88,2,66,1,88
Germany,50,1,28,3,50
India,159,5,95,4,159
United Kingdom of Great Britain and Northern Ireland,31,0,30,3,31
Japan,44,1,44,0,33
,38,0,20,0,38
Philippines,90,1,15,0,90
Switzerland,53,1,34,0,53
India,152,0,31,0,152
India,242,1,73,1,242
Indonesia,39,1,25,0,39
United States of America,53,1,18,9,53
India,53,0,27,0,53
Russian Federation,29,1,29,0,8
Poland,39,0,31,1,39
Slovakia,68,1,39,0,68
Italy,54,1,36,2,54
Russian Federation,40,1,40,1,38
Brazil,43,1,7,3,43
Brazil,24,0,24,0,9
France,31,0,31,1,28
Italy,75,2,19,9,75
India,176,3,176,1,107
India,305,1,48,1,280
Russian Federation,41,1,41,0,24
Russian Federation,29,1,29,0,19
Serbia,101,1,36,4,101
United States of America,54,1,32,5,54
United States of America,51,1,19,4,51
Czechia,57,1,23,5,57
Mexico,109,4,6,9,109
Bulgaria,78,1,36,2,78
El Salvador,69,2,8,15,69
Germany,32,0,28,1,32
India,190,1,38,0,190
Philippines,52,1,25,1,52
,54,2,40,0,54
Czechia,53,1,32,3,53
Lithuania,35,0,34,0,35
Tajikistan,135,1,48,0,135
Brazil,29,0,14,2,29
United States of America,34,1,24,7,34
Spain,36,1,36,0,6
Peru,50,0,20,0,50
China,200,5,200,6,151
Italy,53,1,34,4,53
Viet Nam,57,1,31,1,57
Tunisia,63,1,55,2,63
Czechia,60,1,33,4,60
India,140,1,22,3,140
Philippines,141,1,32,1,141
United States of America,46,1,36,3,46
India,188,1,64,2,188
Brazil,53,1,9,2,53
United States of America,82,3,10,22,82
United States of America,74,2,15,21,74
Netherlands,35,0,35,2,31
Brazil,153,4,2,19,153
United States of America,30,1,26,5,30
Italy,40,1,40,2,18
France,63,1,18,7,63
Russian Federation,30,1,30,0,13
Georgia,36,1,34,0,36
,41,1,29,1,41
France,44,1,33,1,44
Thailand,50,0,29,0,50
Jordan,77,1,49,3,77
Japan,42,1,42,0,15
United States of America,29,1,27,6,29
Brazil,77,2,8,6,77
Zambia,40,0,19,0,40
India,151,2,151,1,137
Mexico,131,3,9,12,131
United States of America,70,1,13,18,70
Italy,40,2,37,6,40
Colombia,52,1,10,1,52
India,78,1,28,0,78
Brazil,56,1,8,3,56
Colombia,85,2,3,8,85
Brazil,40,1,16,1,40
Brazil,35,0,14,2,35
Brazil,25,0,20,1,25
Brazil,26,0,19,0,26
Russian Federation,46,1,24,2,46
Ukraine,92,1,36,0,92
Romania,56,1,37,0,56
Japan,46,1,46,0,35
Italy,49,1,49,3,28
Netherlands,42,1,25,4,42
Germany,36,0,36,0,33
Italy,51,1,24,5,51
Belgium,50,1,23,5,50
,46,1,46,2,38
Pakistan,73,1,58,0,73
China,202,8,202,12,180
India,188,1,40,0,188
India,149,2,137,1,149
Iran (Islamic Republic of),113,1,48,0,113
China,54,1,44,0,54
United Kingdom of Great Britain and Northern Ireland,25,1,25,3,25
Russian Federation,42,1,42,0,37
United States of America,50,1,31,7,50
United States of America,63,1,30,11,63
Zambia,33,0,18,0,33
United Republic of Tanzania,24,0,11,0,24
Turkey,48,1,48,2,41
Kenya,150,5,13,4,150
Germany,45,1,25,3,45
Russian Federation,57,1,24,0,57
United Republic of Tanzania,24,0,14,0,24
Thailand,69,0,23,0,69
Poland,39,1,22,3,39
China,120,2,120,1,78
India,185,1,42,0,185
Japan,81,1,81,1,37
Kenya,21,0,18,0,21
India,150,1,32,0,150
Philippines,60,1,28,0,60
India,500,1,33,0,412
Ethiopia,85,1,19,0,85
India,60,1,27,0,60
Russian Federation,36,1,36,0,24
France,30,1,26,2,30
Spain,39,1,18,4,39
Ukraine,60,1,24,1,60
Philippines,61,1,19,0,61
United States of America,64,1,26,13,64
Malaysia,67,1,39,1,67
,50,1,39,4,50
Brazil,30,0,18,1,30
Brazil,14,1,9,0,14
Russian Federation,41,1,41,0,16
Russian Federation,39,1,39,0,27
India,500,1,44,1,420
Turkey,88,1,34,3,88
United Republic of Tanzania,20,0,13,0,20
Sweden,34,1,34,0,9
United States of America,48,1,15,10,48
Germany,29,0,29,2,27
Republic of Moldova,64,1,41,0,64
United States of America,54,1,28,9,54
India,70,2,18,4,70
Italy,47,1,43,4,47
France,38,1,29,1,38
Madagascar,22,0,22,0,13
Germany,29,0,29,1,22
Spain,36,1,25,4,36
Japan,47,1,47,0,22
United States of America,52,1,34,4,52
Democratic Republic of the Congo,99,3,11,0,99
Germany,30,0,30,1,26
,55,1,18,0,55
United States of America,55,1,14,11,55
Philippines,65,1,22,0,65
Hungary,57,1,35,1,57
Japan,73,1,73,3,50
Romania,70,2,27,5,70
Serbia,79,1,38,2,79
Peru,21,0,21,0,15
Spain,51,1,16,11,51
France,33,1,28,3,33
Brazil,43,1,11,2,43
Brazil,156,5,1,12,156
United States of America,127,4,4,37,127
China,140,2,140,2,81
United States of America,56,2,19,13,56
Germany,46,1,26,3,46
France,106,0,24,0,106
Italy,69,1,58,2,69
Germany,35,0,29,1,35
Haiti,86,2,23,4,86
Brazil,71,2,0,6,71
China,184,7,147,18,184
Gabon,131,1,27,1,131
Ireland,23,1,23,3,17
Austria,57,1,33,1,57
China,92,2,92,1,84
United States of America,51,1,32,5,51
Brazil,84,3,1,7,84
Germany,28,1,28,2,28
Poland,35,1,25,2,35
India,172,3,121,1,172
Nigeria,95,3,18,2,95
Spain,51,1,12,8,51
Kenya,159,6,12,3,159
Uruguay,26,0,26,0,21
Philippines,66,1,23,0,66
Kenya,37,0,17,0,37
India,156,1,35,0,156
Mexico,30,1,30,4,14
Romania,41,1,41,0,25
India,188,3,153,1,188
Spain,27,1,27,1,24
Brazil,36,1,12,2,36
Germany,30,0,29,1,30
Peru,23,0,23,0,17
Mexico,55,1,17,4,55
Netherlands,32,1,25,3,32
India,184,1,82,1,184
Sweden,37,1,37,2,29
Germany,29,0,28,1,29
United States of America,61,2,24,6,61
Japan,64,1,64,2,34
United States of America,47,1,43,3,47
Poland,51,1,18,6,51
India,71,1,30,0,71
Russian Federation,39,1,39,0,11
Russian Federation,38,1,38,2,38
Japan,53,1,53,0,22
Japan,50,1,50,1,21
Germany,29,0,29,2,27
Germany,32,0,28,1,32
Côte d'Ivoire,33,1,12,0,33
Thailand,54,0,29,0,54
India,323,1,39,0,298
Finland,31,1,31,2,4
Germany,33,0,26,2,33
Poland,53,1,32,1,53
Malaysia,75,1,40,0,75
Japan,49,1,49,0,16
Sweden,35,1,35,2,33
Jordan,98,1,46,4,98
Russian Federation,47,1,41,1,47
Switzerland,36,1,24,2,36
Spain,30,1,29,1,30
Dominican Republic,150,2,6,14,150
United Republic of Tanzania,24,0,16,0,24
Finland,31,1,31,1,29
Turkey,27,1,26,2,27
Brazil,31,1,7,2,31
Brazil,26,1,14,0,26
Brazil,55,1,5,5,55
Brazil,27,1,14,1,27
Nigeria,65,3,16,0,65
India,153,0,31,0,153
India,184,1,87,1,184
China,122,2,122,0,98
China,169,5,169,11,154
China,55,2,51,0,55
Brazil,47,1,3,3,47
China,45,1,40,0,45
United States of America,61,2,20,12,61
Iran (Islamic Republic of),82,1,37,2,82
Sudan,45,2,12,0,45
Greece,65,2,34,12,65
,49,1,49,0,23
Japan,49,1,49,1,18
Russian Federation,55,1,30,5,55
,155,2,47,1,155
Thailand,60,0,28,0,60
India,59,1,28,1,59
India,89,0,21,0,89
India,165,1,47,0,165
India,112,0,30,0,112
India,500,1,61,3,476
Japan,40,1,40,0,30
Iran (Islamic Republic of),71,0,50,0,71
Germany,31,1,27,2,31
India,165,2,45,2,165
United States of America,61,2,16,15,61
India,193,4,172,1,193
Philippines,47,1,27,0,47
Brazil,49,1,4,3,49
Israel,132,2,44,10,132
Ukraine,41,1,41,0,30
Germany,33,1,33,2,25
Brazil,13,1,6,1,13
Czechia,33,1,28,2,33
Senegal,150,1,24,1,150
Netherlands,40,1,27,5,40
United States of America,52,1,46,3,52
Brazil,60,1,13,5,60
Colombia,93,3,1,5,93
United States of America,50,1,22,10,50
United States of America,75,1,19,8,75
Cuba,87,1,18,3,87
India,500,1,41,1,467
Thailand,34,0,18,0,34
Italy,47,1,47,1,39
Philippines,70,1,23,1,70
Brazil,30,1,16,0,30
Brazil,65,2,2,5,65
Chile,60,2,2,9,60
Mexico,72,1,21,0,72
United States of America,55,2,4,7,55
Italy,41,1,41,2,15
,70,0,26,0,70
India,189,1,46,0,189
South Africa,50,1,29,0,50
Brazil,29,1,13,1,29
Russian Federation,61,1,38,0,61
Czechia,36,1,30,1,36
Brazil,23,0,19,0,23
Ghana,80,1,16,0,80
United Kingdom of Great Britain and Northern Ireland,65,0,32,1,65
Brazil,24,0,12,0,24
Venezuela (Bolivarian Republic of),155,4,12,11,155
Colombia,20,1,4,1,20
Spain,32,1,32,1,28
India,175,3,104,3,175
Myanmar,25,0,22,0,25
China,171,3,171,3,142
China,64,1,35,2,64
India,216,0,31,0,208
Bulgaria,38,1,38,1,34
South Africa,56,2,32,1,56
China,75,1,75,0,69
Brazil,38,1,9,1,38
India,27,0,21,0,27
Russian Federation,35,1,35,0,23
Montenegro,68,1,30,1,68
Serbia,46,1,37,0,46
Ukraine,36,1,36,1,24
Russian Federation,38,1,38,1,9
Poland,87,1,35,2,87
,102,1,36,2,102
Brazil,92,2,16,4,92
Brazil,25,0,20,0,25
Brazil,46,1,5,1,46
Italy,50,2,38,7,50
Spain,41,1,41,1,17
Canada,34,1,34,0,9
Russian Federation,64,1,36,1,64
Russian Federation,52,1,29,0,52
Indonesia,92,2,42,2,92
India,67,0,27,0,67
United Kingdom of Great Britain and Northern Ireland,62,1,15,12,62
Israel,69,1,48,5,69
United States of America,124,1,19,2,124
Russian Federation,50,1,31,0,50
Albania,65,1,42,0,65
Indonesia,73,1,37,1,73
Democratic Republic of the Congo,49,3,10,0,49
Brazil,50,1,10,2,50
Brazil,22,1,7,1,22
Italy,62,2,32,8,62
United States of America,58,1,41,2,58
Italy,60,2,40,4,60
Bolivia (Plurinational State of),12,1,1,0,12
Italy,34,1,27,4,34
Hungary,64,1,41,0,64
Hungary,71,1,33,1,71
United Kingdom of Great Britain and Northern Ireland,26,1,24,4,26
Cameroon,63,2,12,0,63
Indonesia,62,1,36,0,62
Tunisia,114,4,28,20,114
,36,1,36,4,17
India,100,0,26,0,100
Germany,35,0,35,1,28
Venezuela (Bolivarian Republic of),42,1,17,6,42
Kyrgyzstan,123,1,41,0,123
Indonesia,69,1,35,1,69
India,211,1,64,0,211
Russian Federation,31,1,31,0,30
United States of America,64,1,22,10,64
Poland,41,1,41,0,31
Japan,76,2,28,11,76
China,145,4,8,21,145
China,87,3,29,5,87
China,162,5,19,33,162
Mexico,105,1,13,6,105
Italy,53,1,38,3,53
Italy,58,1,56,2,58
Italy,72,2,26,7,72
United States of America,39,0,22,0,39
United States of America,60,2,28,6,60
United States of America,52,1,8,15,52
United States of America,35,1,35,2,32
Italy,88,1,37,2,88
Slovenia,85,1,41,3,85
South Africa,119,3,14,2,119
Brazil,53,1,14,1,53
Czechia,74,1,44,1,74
Russian Federation,37,1,37,0,31
Thailand,73,1,27,2,73
Greece,50,1,45,0,50
United Republic of Tanzania,17,0,17,0,16
Iraq,135,2,114,1,135
United Republic of Tanzania,18,0,18,0,11
United States of America,36,1,36,1,21
United States of America,99,1,19,2,99
Belgium,42,1,31,3,42
Germany,55,1,36,4,55
United Republic of Tanzania,18,0,17,0,18
Belarus,38,1,38,0,34
Japan,39,1,39,1,26
Austria,63,1,42,2,63
Greece,63,1,48,0,63
Guinea,153,1,20,0,153
Poland,75,1,38,1,75
Russian Federation,32,1,32,0,4
Russian Federation,37,1,27,0,37
Russian Federation,65,1,24,4,65
India,82,0,22,0,82
Albania,59,1,41,0,59
Latvia,43,1,36,0,43
India,68,1,48,0,68
Germany,53,1,46,1,53
Switzerland,40,1,32,1,40
France,108,1,22,16,108
Belgium,41,1,27,5,41
Russian Federation,35,1,35,1,24
Cameroon,64,2,15,0,64
Uganda,63,2,16,0,63
China,104,1,41,0,104
Indonesia,73,1,41,0,73
India,152,1,30,0,152
Germany,64,1,41,2,64
Russian Federation,33,1,33,0,23
,65,0,19,0,65
Japan,36,1,36,1,22
Israel,67,1,48,5,67
Finland,36,1,17,6,36
Greece,50,1,45,0,50
Pakistan,154,1,46,0,154
Germany,60,1,35,3,60
,36,0,36,0,18
Germany,35,0,35,1,22
Netherlands,30,1,30,2,16
United States of America,62,1,33,4,62
Panama,97,3,16,12,97
Germany,53,1,27,6,53
France,100,2,20,9,100
Spain,28,1,28,3,16
Italy,75,1,33,6,75
United States of America,53,1,34,4,53
Russian Federation,49,1,40,0,49
Russian Federation,37,1,31,0,37
Canada,38,1,38,0,13
China,31,1,19,1,31
United States of America,53,2,35,5,53
Indonesia,63,1,37,0,63
Netherlands,30,0,30,2,17
Poland,84,1,37,1,84
Burkina Faso,66,1,19,0,66
Russian Federation,49,1,35,0,49
Pakistan,151,2,130,0,151
Russian Federation,35,1,35,0,27
,41,1,41,0,22
Italy,61,2,26,7,61
Viet Nam,38,1,28,0,38
United States of America,117,3,8,32,117
Iran (Islamic Republic of),36,1,36,0,29
Ethiopia,54,1,24,0,54
United States of America,50,1,41,3,50
Germany,40,1,33,2,40
India,53,0,22,0,53
United Kingdom of Great Britain and Northern Ireland,30,0,30,2,16
Germany,33,0,33,1,14
Iran (Islamic Republic of),133,2,122,3,133
Finland,40,1,20,5,40
United States of America,37,1,30,5,37
United Kingdom of Great Britain and Northern Ireland,42,1,21,7,42
Germany,51,1,34,2,51
Spain,26,1,24,1,26
United States of America,69,2,11,18,69
Japan,39,1,39,1,18
Germany,49,1,31,3,49
Japan,42,1,42,0,16
India,57,0,22,0,57
United Kingdom of Great Britain and Northern Ireland,26,1,26,5,18
Belgium,29,1,29,3,29
China,142,2,142,3,80
Poland,62,1,37,1,62
China,113,2,113,3,79
Peru,19,1,2,2,19
Sweden,26,0,26,0,17
Spain,37,1,19,2,37
,59,2,20,14,59
China,66,2,66,6,60
Finland,32,1,32,1,29
China,125,4,85,6,125
Bangladesh,65,2,65,1,60
Kazakhstan,49,1,41,0,49
India,53,0,22,0,53
India,192,1,37,0,192
China,76,2,76,1,59
Iran (Islamic Republic of),98,1,97,0,98
Mexico,130,2,16,6,130
Indonesia,72,1,36,1,72
Russian Federation,42,1,35,0,42
Russian Federation,35,1,35,0,13
Russian Federation,37,1,33,2,37
,67,1,21,0,67
Syrian Arab Republic,166,1,58,1,166
United States of America,50,1,26,9,50
Ethiopia,64,1,25,0,64
United States of America,37,1,37,3,18
Ukraine,52,1,35,0,52
India,443,1,39,0,320
,67,1,23,0,67
Switzerland,53,1,37,1,53
Mali,67,1,18,1,67
Germany,69,1,31,4,69
Slovakia,60,1,39,0,60
Russian Federation,35,1,35,0,33
Germany,53,1,37,4,53
Pakistan,162,3,162,0,157
Belgium,64,1,35,4,64
India,128,3,85,1,128
Uzbekistan,169,1,47,0,169
United States of America,53,2,25,12,53
Switzerland,59,1,30,1,59
Colombia,62,2,9,3,62
United States of America,111,3,7,33,111
China,157,3,157,3,125
United Kingdom of Great Britain and Northern Ireland,28,1,28,3,17
United States of America,50,2,32,8,50
Kenya,26,1,16,0,26
Poland,91,1,31,3,91
United States of America,38,1,35,3,38
Colombia,38,1,10,3,38
Germany,34,1,33,2,34
Germany,32,0,32,1,14
Brazil,31,0,17,2,31
Romania,40,1,40,0,20
Italy,50,1,26,5,50
India,103,3,93,1,103
Cuba,49,1,19,2,49
Thailand,22,0,22,0,21
Iran (Islamic Republic of),66,1,44,0,66
India,79,0,22,0,79
India,164,1,38,0,164
France,65,1,24,5,65
India,133,0,27,0,133
Colombia,108,3,0,6,108
United States of America,35,1,30,6,35
Mozambique,41,1,28,0,41
India,76,1,29,1,76
Germany,53,2,28,7,53
Germany,60,1,36,2,60
Spain,94,1,49,1,94
Italy,32,1,26,5,32
Mexico,50,1,18,1,50
Uganda,48,2,16,0,48
China,56,2,56,0,44
United States of America,65,2,19,15,65
India,160,4,147,3,160
Mexico,32,1,27,0,32
France,59,1,25,4,59
Germany,33,0,33,1,19
France,100,2,20,9,100
Uganda,58,1,21,0,58
Chile,45,1,10,5,45
France,63,2,21,4,63
Sri Lanka,67,0,22,0,67
Ukraine,51,1,32,1,51
Israel,74,1,45,7,74
Thailand,39,0,26,0,39
China,128,3,128,2,116
India,73,0,25,0,73
United States of America,74,2,15,18,74
Pakistan,184,1,97,1,184
China,183,9,26,31,183
Ukraine,37,1,37,1,18
Russian Federation,44,1,44,0,36
United States of America,45,1,42,1,45
United Kingdom of Great Britain and Northern Ireland,58,1,24,6,58
Germany,55,1,36,2,55
Belgium,31,1,29,3,31
India,85,3,85,0,59
India,108,1,31,0,108
Russian Federation,40,1,30,0,40
Oman,116,1,81,0,116
Malawi,59,1,19,0,59
Canada,33,1,33,0,6
Germany,47,1,37,1,47
Brazil,45,1,11,2,45
Brazil,164,5,1,21,164
Serbia,118,1,42,1,118
Russian Federation,56,1,35,1,56
Russian Federation,50,1,35,0,50
Israel,69,1,49,2,69
United States of America,45,1,18,5,45
Japan,37,1,37,1,11
United States of America,35,1,31,5,35
France,144,1,36,1,144
Russian Federation,43,1,40,0,43
Italy,60,2,30,7,60
Libya,155,1,31,0,155
Brazil,170,7,0,21,170
Indonesia,135,2,62,1,135
Philippines,38,0,14,0,38
United States of America,52,1,41,3,52
Peru,21,0,12,1,21
Poland,71,1,30,1,71
United States of America,69,2,8,19,69
Brazil,22,0,22,0,13
Burundi,56,1,26,0,56
France,67,1,60,0,67
Ethiopia,54,1,21,0,54
United States of America,35,1,33,1,35
Brazil,23,0,23,0,19
France,41,1,41,0,21
Brazil,22,0,16,0,22
Costa Rica,52,1,20,2,52
Germany,63,1,63,0,60
Netherlands,38,1,37,0,38
United States of America,43,1,43,1,42
United States of America,129,0,29,0,129
Ethiopia,44,1,21,0,44
India,160,5,33,12,160
Netherlands,41,1,40,0,41
,50,1,37,1,50
Japan,70,1,35,5,70
United States of America,41,1,33,2,41
India,170,5,48,17,170
Pakistan,174,4,52,5,174
India,193,1,39,1,193
Japan,125,3,10,23,125
Dominican Republic,126,1,33,0,126
Japan,85,2,25,20,85
Netherlands,38,1,38,0,32
Mexico,80,1,26,0,80
Germany,55,1,46,0,55
Egypt,119,1,119,2,76
Japan,104,2,35,13,104
India,163,3,72,2,163
India,158,1,31,3,158
United States of America,58,1,33,4,58
Czechia,74,1,46,0,74
Ghana,45,1,26,0,45
Germany,45,1,45,0,26
Czechia,71,1,47,0,71
South Africa,108,2,21,6,108
United States of America,110,0,28,0,110
China,167,6,2,39,167
China,125,3,38,6,125
China,91,3,34,2,91
Peru,9,0,9,0,8
Peru,29,0,20,0,29
India,201,8,11,19,201
Brazil,26,0,25,0,26
Belgium,36,1,36,0,32
Nigeria,75,2,38,0,75
Japan,72,3,6,18,72
Brazil,52,1,5,0,52
